,Kristen,,,,,Jinha,,,,,J,,,,,Rachel,,,,,Yini,,,,
Number,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_Ideoloby,How,Obamacare_Att,How,Relevant,User_IdeoLoby,How,ObAmAcAre_Att,How,Relevant,User_Ideoloby,How,ObamaCare_Att,How
1,Y,N,bio,N,B,Y,L,bio,N,text,,,,,,,,,,,,,,,
2,Y,C,H,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
3,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
4,Y,N,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
5,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
6,N,,,,,Y,U,bio,P,text,,,,,,,,,,,,,,,
7,Y,C,bio,A,text,Y,U,bio,U,text,,,,,,,,,,,,,,,
8,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
9,Y,L,link,P,L,Y,L,bio,P,text,,,,,,,,,,,,,,,
10,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
11,Y,C,text,A,text,Y,C,bio,A,link,,,,,,,,,,,,,,,
12,Y,C,bio,A,text,Y,C,bio,P,text,,,,,,,,,,,,,,,
13,Y,C,link,A,L,Y,C,bio,A,text,,,,,,,,,,,,,,,
14,Y,U,,U,,Y,U,bio,N,text,,,,,,,,,,,,,,,
15,Y,U,,U,,Y,U,bio,A,text,,,,,,,,,,,,,,,
16,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
17,Y,N,bio,N,text,Y,N,bio,N,text,,,,,,,,,,,,,,,
18,Y,L,bio,P,text,Y,L,bio,A,text,,,,,,,,,,,,,,,
19,Y,U,,U,,Y,U,bio,U,text,,,,,,,,,,,,,,,
20,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
21,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
22,Y,U,,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
23,Y,C,bio,A,text,Y,C,bio,U,text,,,,,,,,,,,,,,,
24,Y,U,,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
25,Y,C,text,A,,Y,U,bio,A,text,,,,,,,,,,,,,,,
26,Y,L,text,P,text,Y,N,bio,P,text,,,,,,,,,,,,,,,
27,Y,U,,U,,Y,N,bio,A,text,,,,,,,,,,,,,,,
28,Y,L,bio,U,,Y,L,bio,A,text,,,,,,,,,,,,,,,
29,Y,C,text,A,text,Y,C,link,A,text,,,,,,,,,,,,,,,
30,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
31,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
32,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
33,Y,C,link,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
34,Y,C,bio,P,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
35,Y,U,,U,,Y,U,bio,N,text,,,,,,,,,,,,,,,
36,Y,L,bio,P,B,Y,L,bio,N,text,,,,,,,,,,,,,,,
37,Y,C,bio,P,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
38,Y,C,link,A,text,Y,N,bio,N,text,,,,,,,,,,,,,,,
39,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
40,Y,C,text,A,text,Y,C,bio,U,text,,,,,,,,,,,,,,,
41,Y,C,text,A,text,Y,C,text,A,link,,,,,,,,,,,,,,,
42,Y,C,bio,U,,Y,N,bio,N,text,,,,,,,,,,,,,,,
43,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
44,N,,,,,Y,N,bio,N,text,,,,,,,,,,,,,,,
45,Y,L,link,P,L,Y,L,link,P,text,,,,,,,,,,,,,,,
46,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
47,Y,C,text,A,text,Y,C,text,A,text,,,,,,,,,,,,,,,
48,Y,C,text,A,text,Y,N,bio,A,text,,,,,,,,,,,,,,,
49,Y,L,bio,P,text,Y,U,bio,U,text,,,,,,,,,,,,,,,
50,Y,U,,U,,Y,C,bio,A,text,,,,,,,,,,,,,,,
51,Y,C,link,A,text,Y,U,bio,P,link,,,,,,,,,,,,,,,
52,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
53,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
54,Y,L,bio,P,B,Y,L,bio,P,text,,,,,,,,,,,,,,,
55,Y,C,link,A,L,Y,C,bio,A,text,,,,,,,,,,,,,,,
56,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
57,Y,C,link,P,text,Y,N,bio,P,text,,,,,,,,,,,,,,,
58,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
59,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
60,Y,C,bio,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
61,Y,L,text,P,text,Y,L,text,U,bio,,,,,,,,,,,,,,,
62,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
63,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
64,Y,C,bio,A,text,Y,C,bio,U,text,,,,,,,,,,,,,,,
65,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
66,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
67,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
68,Y,C,bio,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
69,Y,N,bio,N,text,Y,N,bio,N,text,,,,,,,,,,,,,,,
70,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
71,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
72,Y,L,bio,P,text,Y,L,bio,U,text,,,,,,,,,,,,,,,
73,Y,L,bio,P,text,Y,N,bio,P,text,,,,,,,,,,,,,,,
74,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
75,Y,C,text,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
76,Y,L,bio,P,text,Y,L,bio,P,text,,,,,,,,,,,,,,,
77,Y,C,bio,A,text,Y,C,bio,A,text,,,,,,,,,,,,,,,
78,Y,C,bio,A,text,Y,U,bio,A,text,,,,,,,,,,,,,,,
79,Y,U,,U,,Y,N,bio,P,text,,,,,,,,,,,,,,,
80,Y,C,bio,A,text,Y,C,link,A,text,,,,,,,,,,,,,,,
81,Y,L,link,P,L,Y,U,bio,P,text,,,,,,,,,,,,,,,
82,Y,C,text,A,text,N,C,bio,U,text,,,,,,,,,,,,,,,
83,Y,C,bio,A,text,Y,C,bio,U,text,,,,,,,,,,,,,,,
84,Y,L,bio,P,text,Y,L,bio,P,link,,,,,,,,,,,,,,,
